"tourney_date","match_num","surface","player1_name","player2_name","match_outcome","player1_hand","player2_hand","rank_diff","elo_diff","ht_diff","age_diff","set1_diff","set2_diff","set3_diff","set1_outcome","set2_outcome","set3_outcome"
20060619,30,"Grass","Andreas Seppi","Jonas Bjorkman","LL","R","R",-5,-48.504036744944,7,-11.9,-3,-5,0,"0","0","0"
20060619,31,"Grass","Richard Gasquet","Jonas Bjorkman","WW","R","R",-11,154.163072248653,2,-14.2,2,3,0,"1","1","0"
20060911,1,"Hard","Ivan Ljubicic","Go Soeda","WW","R","R",-183,318.554964694162,15,5.4,2,4,0,"1","1","0"
20060911,2,"Hard","Kevin Kim","Kristian Pless","WW","R","R",-22,30.3224845028055,-8,2.6,4,2,0,"1","1","0"
20060911,3,"Hard","Michael Berrer","Gouichi Motomura","WW","L","R",-168,23.656730160797,20,-6.6,2,2,0,"1","1","0"
20060911,4,"Hard","Hyung Taik Lee","Igor Kunitsyn","WW","R","R",-56,72.648810227678,0,5.7,3,2,0,"1","1","0"
20060911,5,"Hard","Mario Ancic","Feliciano Lopez","WLW","R","L",-69,245.962676283974,8,-2.5,3,-3,3,"1","0","1"
20060911,6,"Hard","Stefano Galvani","Yen Hsun Lu","WW","R","R",-26,45.6924058605548,-2,6.2,3,1,0,"1","1","0"
20060911,7,"Hard","Ramon Delgado","Alexander Peya","LL","R","R",-37,60.3509743471093,2,3.6,-2,-4,0,"0","0","0"
20060911,8,"Hard","Dominik Hrbaty","Rik De Voest","WW","R","R",-85,119.207214088121,3,2.4,5,6,0,"1","1","0"
20060911,9,"Hard","Ivo Karlovic","Mikhail Ledovskikh","WW","R","R",-212,63.80293744079,20,7.5,4,1,0,"1","1","0"
20060911,10,"Hard","Danai Udomchoke","Marco Chiudinelli","LWW","R","R",-66,-66.8362336641303,-12,0,-6,4,3,"0","1","1"
20060911,12,"Hard","Marcos Baghdatis","Denis Gremelmayr","LWW","R","L",-88,158.896178972461,0,-3.8,-2,5,1,"0","1","1"
20060911,13,"Hard","Paradorn Srichaphan","Rainer Schuettler","WW","R","R",-39,77.1711464341154,5,-3.1,3,3,0,"1","1","0"
20060911,14,"Hard","Nathan Healey","Satoshi Iwabuchi","LL","R","L",-233,20.3895344048817,5,-4.4,-5,-1,0,"0","0","0"
20060911,16,"Hard","Nikolay Davydenko","Kenneth Carlsen","WW","R","L",-116,247.513735321868,-12,-8.2,3,2,0,"1","1","0"
20060911,17,"Hard","Ivan Ljubicic","Kevin Kim","WW","R","R",-86,327.819315175812,13,-0.700000000000003,3,2,0,"1","1","0"
20060911,18,"Hard","Hyung Taik Lee","Michael Berrer","LWW","R","L",-82,138.656961398436,-13,4.5,-2,1,1,"0","1","1"
20060911,19,"Hard","Mario Ancic","Stefano Galvani","WW","R","R",-95,343.578237998535,18,-6.8,3,2,0,"1","1","0"
20060911,20,"Hard","Dominik Hrbaty","Alexander Peya","WLW","R","R",-115,180.079425515739,0,2.4,5,-4,6,"1","0","1"
20060911,21,"Hard","Ivo Karlovic","Danai Udomchoke","LL","R","R",-50,114.353239713215,35,2.5,-4,-2,0,"0","0","0"
20060911,22,"Hard","Marcos Baghdatis","Jimmy Wang","WW","R","R",-121,224.796212209021,5,-0.300000000000001,1,2,0,"1","1","0"
20060911,23,"Hard","Paradorn Srichaphan","Satoshi Iwabuchi","WW","R","L",-381,96.9171583986658,10,-3.7,3,5,0,"1","1","0"
20060911,25,"Hard","Ivan Ljubicic","Hyung Taik Lee","LL","R","R",-60,204.067332852791,13,-3.2,-3,-1,0,"0","0","0"
20060911,26,"Hard","Mario Ancic","Dominik Hrbaty","LWW","R","R",-16,188.821313779113,13,-6.2,-4,1,2,"0","1","1"
20060911,27,"Hard","Marcos Baghdatis","Danai Udomchoke","WW","R","R",-113,236.980599452219,10,-3.8,4,5,0,"1","1","0"
20060911,28,"Hard","Nikolay Davydenko","Paradorn Srichaphan","LL","R","R",-42,188.627362757022,-7,-2,-4,-1,0,"0","0","0"
20060911,29,"Hard","Mario Ancic","Hyung Taik Lee","LWW","R","R",-51,211.88925879573,16,-8.2,-2,5,5,"0","1","1"
20060911,30,"Hard","Marcos Baghdatis","Paradorn Srichaphan","WLW","R","R",-38,103.342139017,-2,-6,4,-3,2,"1","0","1"
20060911,31,"Hard","Marcos Baghdatis","Mario Ancic","WW","R","R",-3,-123.67021957623,-13,-1.2,2,6,0,"1","1","0"
20060911,1,"Clay","Dmitry Tursunov","Alexander Waske","LWW","R","R",-92,195.133623569228,-3,-7.7,-5,1,2,"0","1","1"
20060911,2,"Clay","Guillermo Garcia Lopez","Albert Montanes","LWW","R","R",-2,56.1695938995747,13,-2.5,-3,2,5,"0","1","1"
20060911,3,"Clay","Victor Crivoi","Edgardo Massa","WLW","R","R",-127,12.5570551288511,5,-1.2,2,-2,2,"1","0","1"
20060911,4,"Clay","Paul Henri Mathieu","Simon Greul","WW","R","R",-29,62.5426848620616,0,-0.799999999999997,5,5,0,"1","1","0"
20060911,5,"Clay","Gilles Simon","Juan Monaco","WLW","R","R",-24,47.1704368954468,-2,-0.699999999999999,2,-3,3,"1","0","1"
20060911,6,"Clay","Jurgen Melzer","Michal Mertinak","LWW","L","R",-239,95.725522224893,3,-1.6,-2,4,2,"0","1","1"
20060911,7,"Clay","Christophe Rochus","Alexandr Dolgopolov","WW","R","R",-311,-41.1442803908835,-10,9.9,4,1,0,"1","1","0"
20060911,8,"Clay","Ruben Ramirez Hidalgo","Victor Ionita","WW","R","R",-212,63.0935949736304,-2,5.3,2,2,0,"1","1","0"
20060911,9,"Clay","Filippo Volandri","Simone Vagnozzi","LWW","R","R",-143,98.7599767145423,10,1.8,-3,4,4,"0","1","1"
20060911,10,"Clay","Stefan Koubek","Mariano Zabaleta","LWW","L","R",-248,-17.3841075213466,-8,1.1,-2,2,3,"0","1","1"
20060911,11,"Clay","Andrei Pavel","Boris Pashanski","WW","R","R",-13,29.6503557777662,3,8.8,3,5,0,"1","1","0"
20060911,12,"Clay","Carlos Moya","Luis Horna","LWW","R","R",-15,189.461067545579,10,4.1,-1,1,2,"0","1","1"
20060911,13,"Clay","Florian Mayer","Potito Starace","WW","R","R",-48,96.5483401788658,2,-2.2,4,3,0,"1","1","0"
20060911,14,"Clay","Alessio Di Mauro","Sergio Roitman","LL","L","R",-22,-40.7733560360439,0,1.7,-3,-4,0,"0","0","0"
20060911,15,"Clay","Martin Vassallo Arguello","Razvan Sabau","WLW","R","R",-55,99.7944367059981,-2,-2.7,3,-5,3,"1","0","1"
20060911,17,"Clay","Dmitry Tursunov","Guillermo Garcia Lopez","LWL","R","R",-60,95.5082161864027,-3,0.5,-4,3,-1,"0","1","0"
20060911,18,"Clay","Paul Henri Mathieu","Victor Crivoi","WW","R","R",-142,82.3694828203529,0,0.400000000000002,5,5,0,"1","1","0"
20060911,19,"Clay","Gilles Simon","Jurgen Melzer","WLL","R","L",-21,21.001567394246,0,-3.6,3,-3,-2,"1","0","0"
20060911,20,"Clay","Ruben Ramirez Hidalgo","Christophe Rochus","LWW","R","R",-5,83.2245352975935,13,0.900000000000002,-3,3,5,"0","1","1"
20060911,21,"Clay","Filippo Volandri","Stefan Koubek","LWW","R","L",-67,57.0088151199861,8,-4.6,-3,4,4,"0","1","1"
20060911,22,"Clay","Carlos Moya","Andrei Pavel","WW","R","R",-38,198.380891244546,7,-2.6,2,1,0,"1","1","0"
20060911,23,"Clay","Florian Mayer","Sergio Roitman","WW","R","R",-57,134.761687427381,5,-4.4,2,5,0,"1","1","0"
20060911,24,"Clay","Florent Serra","Martin Vassallo Arguello","WW","R","R",-64,47.4481402670249,-3,-1,2,5,0,"1","1","0"
20060911,25,"Clay","Paul Henri Mathieu","Guillermo Garcia Lopez","WW","R","R",-28,39.7108944957629,-3,1.4,5,2,0,"1","1","0"
20060911,26,"Clay","Ruben Ramirez Hidalgo","Jurgen Melzer","LL","R","L",-8,-20.0858681953548,0,3.3,-2,-4,0,"0","0","0"
20060911,27,"Clay","Carlos Moya","Filippo Volandri","LL","R","R",-10,110.02039224369,7,5,-3,-3,0,"0","0","0"
20060911,28,"Clay","Florent Serra","Florian Mayer","WW","R","R",-9,-52.0259085154951,-10,2.6,3,1,0,"1","1","0"
20060911,30,"Clay","Florent Serra","Filippo Volandri","LL","R","R",-7,-38.2346490812499,-3,0.5,-1,-2,0,"0","0","0"
20060911,31,"Clay","Filippo Volandri","Jurgen Melzer","LL","R","L",-16,33.4565490459497,0,-0.300000000000001,-5,-2,0,"0","0","0"
20060227,1,"Clay","Guillermo Coria","Alessio Di Mauro","LL","R","L",-106,277.631042323284,-10,-4.4,-4,-2,0,"0","0","0"
20060227,2,"Clay","Boris Pashanski","Ivo Minar","LWW","R","R",-42,12.9324243557442,-3,1.6,-4,3,2,"0","1","1"
20060227,3,"Clay","Tomas Behrend","Jiri Vanek","WLW","R","R",-5,-30.0886941362132,8,3.4,1,-2,3,"1","0","1"
20060227,4,"Clay","Juan Ignacio Chela","Juan Monaco","LWW","R","R",-26,67.8583388881398,5,4.5,-2,1,3,"0","1","1"
20060227,6,"Clay","Albert Montanes","Juan Martin del Potro","WW","R","R",-50,-57.6424641274209,-23,7.8,4,2,0,"1","1","0"
20060227,7,"Clay","Fernando Vicente","Nicolas Almagro","LWL","R","R",-5,-133.887495387853,-3,8.4,-3,2,-2,"0","1","0"
20060227,8,"Clay","Jose Acasuso","Santiago Gonzalez","WW","R","R",-151,153.988459367288,0,0.300000000000001,4,5,0,"1","1","0"
20060227,9,"Clay","Florent Serra","Juan Antonio Marin","LWL","R","R",-66,185.824289898231,5,-6,-2,1,-2,"0","1","0"
20060227,10,"Clay","Luis Horna","Lukas Dlouhy","WW","R","R",-8,79.6168480221884,-5,2.6,2,2,0,"1","1","0"
20060227,11,"Clay","Agustin Calleri","Nicolas Lapentti","WW","R","R",-22,111.288656482495,-5,-0.100000000000001,3,3,0,"1","1","0"
20060227,12,"Clay","Filippo Volandri","Alberto Martin","LWL","R","R",-26,53.4260389905014,8,-3.1,-6,4,-4,"0","1","0"
20060227,13,"Clay","Nicolas Massu","Carlos Berlocq","WW","R","R",-34,204.4942783885,0,3.3,4,2,0,"1","1","0"
20060227,14,"Clay","Marcos Daniel","Kevin Kim","WW","R","R",-34,-55.2338426207598,0,0.100000000000001,2,3,0,"1","1","0"
20060227,15,"Clay","Potito Starace","Razvan Sabau","WLL","R","R",-26,104.885476411355,3,-4,6,-2,-3,"1","0","0"
20060227,16,"Clay","Gaston Gaudio","Albert Portas","WW","R","R",-102,217.756848300445,-13,-5,2,4,0,"1","1","0"
20060227,17,"Clay","Boris Pashanski","Alessio Di Mauro","WLL","R","L",-58,35.9789301812909,-5,-5.2,5,-3,-2,"1","0","0"
20060227,18,"Clay","Juan Ignacio Chela","Tomas Behrend","WLW","R","R",-56,181.111150309024,-3,-4.8,5,-4,4,"1","0","1"
20060227,19,"Clay","Carlos Moya","Albert Montanes","WLL","R","R",-66,224.23951521623,15,4.3,4,-1,-2,"1","0","0"
20060227,21,"Clay","Luis Horna","Juan Antonio Marin","WW","R","R",-35,118.415107289628,5,-5.5,3,1,0,"1","1","0"
20060227,22,"Clay","Alberto Martin","Agustin Calleri","LL","R","R",-11,-71.8147925552003,-8,-1.9,-3,-4,0,"0","0","0"
20060227,23,"Clay","Nicolas Massu","Marcos Daniel","LL","R","R",-44,207.763212109962,3,-1.3,-2,-2,0,"0","0","0"
20060227,24,"Clay","Gaston Gaudio","Razvan Sabau","WLW","R","R",-107,231.256990325813,-10,-1.4,3,-3,4,"1","0","1"
20060227,25,"Clay","Juan Ignacio Chela","Alessio Di Mauro","WW","R","L",-68,162.625184198096,5,-2.1,2,4,0,"1","1","0"
20060227,26,"Clay","Albert Montanes","Nicolas Almagro","LL","R","R",-4,-103.424564316402,-8,4.7,-2,-6,0,"0","0","0"
20060227,27,"Clay","Luis Horna","Agustin Calleri","WW","R","R",-1,-128.759523122377,-3,-4,3,2,0,"1","1","0"
20060227,28,"Clay","Gaston Gaudio","Marcos Daniel","WLW","R","R",-80,203.996550877982,-5,-0.400000000000002,2,-4,3,"1","0","1"
20060227,29,"Clay","Juan Ignacio Chela","Nicolas Almagro","WW","R","R",-55,12.8578908378338,7,5.9,4,4,0,"1","1","0"
20060227,30,"Clay","Gaston Gaudio","Luis Horna","WLL","R","R",-60,112.467446363324,-5,1.8,2,-2,-3,"1","0","0"
20060227,31,"Clay","Juan Ignacio Chela","Luis Horna","LL","R","R",-23,74.6229750040907,10,1,-1,-2,0,"0","0","0"
20060102,1,"Hard","Ivan Ljubicic","Guillermo Garcia Lopez","WW","R","R",-82,245.668074270837,5,4.2,1,2,0,"1","1","0"
20060102,3,"Hard","Cyril Saulnier","Rohan Bopanna","LL","R","R",-176,20.2482641200941,0,4.5,-3,-3,0,"0","0","0"
20060102,4,"Hard","Gilles Muller","Razvan Sabau","WW","L","R",-36,84.7249382334383,8,-5.9,4,1,0,"1","1","0"
20060102,5,"Hard","Paradorn Srichaphan","Ramon Delgado","LWW","R","R",-90,105.595982821982,0,-2.6,-2,5,1,"0","1","1"
20060102,6,"Hard","Hyung Taik Lee","Marc Gicquel","LL","R","R",-16,5.53696095128248,-8,1.2,-2,-2,0,"0","0","0"
